"ID","longitude","latitude"
"X1",-46.25,-22.75
"X2",-46.1,-22.75
"X3",-45.95,-22.75
"X4",-45.8,-22.75
"X5",-46.4,-22.6
"X6",-46.25,-22.6
"X7",-46.1,-22.6
"X8",-45.95,-22.6
"X9",-45.8,-22.6
"X10",-45.65,-22.6
"X11",-45.5,-22.6
"X12",-45.35,-22.6
"X13",-46.55,-22.45
"X14",-46.4,-22.45
"X15",-46.25,-22.45
"X16",-46.1,-22.45
"X17",-45.95,-22.45
"X18",-45.8,-22.45
"X19",-45.65,-22.45
"X20",-45.5,-22.45
"X21",-45.35,-22.45
"X22",-45.2,-22.45
"X23",-45.05,-22.45
"X24",-44.9,-22.45
"X25",-46.7,-22.3
"X26",-46.55,-22.3
"X27",-46.4,-22.3
"X28",-46.25,-22.3
"X29",-46.1,-22.3
"X30",-45.95,-22.3
"X31",-45.8,-22.3
"X32",-45.65,-22.3
"X33",-45.5,-22.3
"X34",-45.35,-22.3
"X35",-45.2,-22.3
"X36",-45.05,-22.3
"X37",-44.9,-22.3
"X38",-44.75,-22.3
"X39",-44.6,-22.3
"X40",-46.55,-22.15
"X41",-46.4,-22.15
"X42",-46.25,-22.15
"X43",-46.1,-22.15
"X44",-45.95,-22.15
"X45",-45.8,-22.15
"X46",-45.65,-22.15
"X47",-45.5,-22.15
"X48",-45.35,-22.15
"X49",-45.2,-22.15
"X50",-45.05,-22.15
"X51",-44.9,-22.15
"X52",-44.75,-22.15
"X53",-44.6,-22.15
"X54",-44.45,-22.15
"X55",-44.3,-22.15
"X56",-44.15,-22.15
"X57",-44,-22.15
"X58",-46.55,-22
"X59",-46.4,-22
"X60",-46.25,-22
"X61",-46.1,-22
"X62",-45.95,-22
"X63",-45.8,-22
"X64",-45.65,-22
"X65",-45.5,-22
"X66",-45.35,-22
"X67",-45.2,-22
"X68",-45.05,-22
"X69",-44.9,-22
"X70",-44.75,-22
"X71",-44.6,-22
"X72",-44.45,-22
"X73",-44.3,-22
"X74",-44.15,-22
"X75",-44,-22
"X76",-43.85,-22
"X77",-43.7,-22
"X78",-43.55,-22
"X79",-43.4,-22
"X80",-43.25,-22
"X81",-43.1,-22
"X82",-42.95,-22
"X83",-46.55,-21.85
"X84",-46.4,-21.85
"X85",-46.25,-21.85
"X86",-46.1,-21.85
"X87",-45.95,-21.85
"X88",-45.8,-21.85
"X89",-45.65,-21.85
"X90",-45.5,-21.85
"X91",-45.35,-21.85
"X92",-45.2,-21.85
"X93",-45.05,-21.85
"X94",-44.9,-21.85
"X95",-44.75,-21.85
"X96",-44.6,-21.85
"X97",-44.45,-21.85
"X98",-44.3,-21.85
"X99",-44.15,-21.85
"X100",-44,-21.85
"X101",-43.85,-21.85
"X102",-43.7,-21.85
"X103",-43.55,-21.85
"X104",-43.4,-21.85
"X105",-43.25,-21.85
"X106",-43.1,-21.85
"X107",-42.95,-21.85
"X108",-42.8,-21.85
"X109",-42.65,-21.85
"X110",-46.55,-21.7
"X111",-46.4,-21.7
"X112",-46.25,-21.7
"X113",-46.1,-21.7
"X114",-45.95,-21.7
"X115",-45.8,-21.7
"X116",-45.65,-21.7
"X117",-45.5,-21.7
"X118",-45.35,-21.7
"X119",-45.2,-21.7
"X120",-45.05,-21.7
"X121",-44.9,-21.7
"X122",-44.75,-21.7
"X123",-44.6,-21.7
"X124",-44.45,-21.7
"X125",-44.3,-21.7
"X126",-44.15,-21.7
"X127",-44,-21.7
"X128",-43.85,-21.7
"X129",-43.7,-21.7
"X130",-43.55,-21.7
"X131",-43.4,-21.7
"X132",-43.25,-21.7
"X133",-43.1,-21.7
"X134",-42.95,-21.7
"X135",-42.8,-21.7
"X136",-42.65,-21.7
"X137",-42.5,-21.7
"X138",-42.35,-21.7
"X139",-46.4,-21.55
"X140",-46.25,-21.55
"X141",-46.1,-21.55
"X142",-45.95,-21.55
"X143",-45.8,-21.55
"X144",-45.65,-21.55
"X145",-45.5,-21.55
"X146",-45.35,-21.55
"X147",-45.2,-21.55
"X148",-45.05,-21.55
"X149",-44.9,-21.55
"X150",-44.75,-21.55
"X151",-44.6,-21.55
"X152",-44.45,-21.55
"X153",-44.3,-21.55
"X154",-44.15,-21.55
"X155",-44,-21.55
"X156",-43.85,-21.55
"X157",-43.7,-21.55
"X158",-43.55,-21.55
"X159",-43.4,-21.55
"X160",-43.25,-21.55
"X161",-43.1,-21.55
"X162",-42.95,-21.55
"X163",-42.8,-21.55
"X164",-42.65,-21.55
"X165",-42.5,-21.55
"X166",-42.35,-21.55
"X167",-47,-21.4
"X168",-46.55,-21.4
"X169",-46.4,-21.4
"X170",-46.25,-21.4
"X171",-46.1,-21.4
"X172",-45.95,-21.4
"X173",-45.8,-21.4
"X174",-45.65,-21.4
"X175",-45.5,-21.4
"X176",-45.35,-21.4
"X177",-45.2,-21.4
"X178",-45.05,-21.4
"X179",-44.9,-21.4
"X180",-44.75,-21.4
"X181",-44.6,-21.4
"X182",-44.45,-21.4
"X183",-44.3,-21.4
"X184",-44.15,-21.4
"X185",-44,-21.4
"X186",-43.85,-21.4
"X187",-43.7,-21.4
"X188",-43.55,-21.4
"X189",-43.4,-21.4
"X190",-43.25,-21.4
"X191",-43.1,-21.4
"X192",-42.95,-21.4
"X193",-42.8,-21.4
"X194",-42.65,-21.4
"X195",-42.5,-21.4
"X196",-42.35,-21.4
"X197",-47,-21.25
"X198",-46.85,-21.25
"X199",-46.7,-21.25
"X200",-46.55,-21.25
"X201",-46.4,-21.25
"X202",-46.25,-21.25
"X203",-46.1,-21.25
"X204",-45.95,-21.25
"X205",-45.8,-21.25
"X206",-45.65,-21.25
"X207",-45.5,-21.25
"X208",-45.35,-21.25
"X209",-45.2,-21.25
"X210",-45.05,-21.25
"X211",-44.9,-21.25
"X212",-44.75,-21.25
"X213",-44.6,-21.25
"X214",-44.45,-21.25
"X215",-44.3,-21.25
"X216",-44.15,-21.25
"X217",-44,-21.25
"X218",-43.85,-21.25
"X219",-43.7,-21.25
"X220",-43.55,-21.25
"X221",-43.4,-21.25
"X222",-43.25,-21.25
"X223",-43.1,-21.25
"X224",-42.95,-21.25
"X225",-42.8,-21.25
"X226",-42.65,-21.25
"X227",-42.5,-21.25
"X228",-42.35,-21.25
"X229",-42.2,-21.25
"X230",-47,-21.1
"X231",-46.85,-21.1
"X232",-46.7,-21.1
"X233",-46.55,-21.1
"X234",-46.4,-21.1
"X235",-46.25,-21.1
"X236",-46.1,-21.1
"X237",-45.95,-21.1
"X238",-45.8,-21.1
"X239",-45.65,-21.1
"X240",-45.5,-21.1
"X241",-45.35,-21.1
"X242",-45.2,-21.1
"X243",-45.05,-21.1
"X244",-44.9,-21.1
"X245",-44.75,-21.1
"X246",-44.6,-21.1
"X247",-44.45,-21.1
"X248",-44.3,-21.1
"X249",-44.15,-21.1
"X250",-44,-21.1
"X251",-43.85,-21.1
"X252",-43.7,-21.1
"X253",-43.55,-21.1
"X254",-43.4,-21.1
"X255",-43.25,-21.1
"X256",-43.1,-21.1
"X257",-42.95,-21.1
"X258",-42.8,-21.1
"X259",-42.65,-21.1
"X260",-42.5,-21.1
"X261",-42.35,-21.1
"X262",-42.2,-21.1
"X263",-47.15,-20.95
"X264",-47,-20.95
"X265",-46.85,-20.95
"X266",-46.7,-20.95
"X267",-46.55,-20.95
"X268",-46.4,-20.95
"X269",-46.25,-20.95
"X270",-46.1,-20.95
"X271",-45.95,-20.95
"X272",-45.8,-20.95
"X273",-45.65,-20.95
"X274",-45.5,-20.95
"X275",-45.35,-20.95
"X276",-45.2,-20.95
"X277",-45.05,-20.95
"X278",-44.9,-20.95
"X279",-44.75,-20.95
"X280",-44.6,-20.95
"X281",-44.45,-20.95
"X282",-44.3,-20.95
"X283",-44.15,-20.95
"X284",-44,-20.95
"X285",-43.85,-20.95
"X286",-43.7,-20.95
"X287",-43.55,-20.95
"X288",-43.4,-20.95
"X289",-43.25,-20.95
"X290",-43.1,-20.95
"X291",-42.95,-20.95
"X292",-42.8,-20.95
"X293",-42.65,-20.95
"X294",-42.5,-20.95
"X295",-42.35,-20.95
"X296",-42.2,-20.95
"X297",-47.15,-20.8
"X298",-47,-20.8
"X299",-46.85,-20.8
"X300",-46.7,-20.8
"X301",-46.55,-20.8
"X302",-46.4,-20.8
"X303",-46.25,-20.8
"X304",-46.1,-20.8
"X305",-45.95,-20.8
"X306",-45.8,-20.8
"X307",-45.65,-20.8
"X308",-45.5,-20.8
"X309",-45.35,-20.8
"X310",-45.2,-20.8
"X311",-45.05,-20.8
"X312",-44.9,-20.8
"X313",-44.75,-20.8
"X314",-44.6,-20.8
"X315",-44.45,-20.8
"X316",-44.3,-20.8
"X317",-44.15,-20.8
"X318",-44,-20.8
"X319",-43.85,-20.8
"X320",-43.7,-20.8
"X321",-43.55,-20.8
"X322",-43.4,-20.8
"X323",-43.25,-20.8
"X324",-43.1,-20.8
"X325",-42.95,-20.8
"X326",-42.8,-20.8
"X327",-42.65,-20.8
"X328",-42.5,-20.8
"X329",-42.35,-20.8
"X330",-42.2,-20.8
"X331",-42.05,-20.8
"X332",-47,-20.65
"X333",-46.85,-20.65
"X334",-46.7,-20.65
"X335",-46.55,-20.65
"X336",-46.4,-20.65
"X337",-46.25,-20.65
"X338",-46.1,-20.65
"X339",-45.95,-20.65
"X340",-45.8,-20.65
"X341",-45.65,-20.65
"X342",-45.5,-20.65
"X343",-45.35,-20.65
"X344",-45.2,-20.65
"X345",-45.05,-20.65
"X346",-44.9,-20.65
"X347",-44.75,-20.65
"X348",-44.6,-20.65
"X349",-44.45,-20.65
"X350",-44.3,-20.65
"X351",-44.15,-20.65
"X352",-44,-20.65
"X353",-43.85,-20.65
"X354",-43.7,-20.65
"X355",-43.55,-20.65
"X356",-43.4,-20.65
"X357",-43.25,-20.65
"X358",-43.1,-20.65
"X359",-42.95,-20.65
"X360",-42.8,-20.65
"X361",-42.65,-20.65
"X362",-42.5,-20.65
"X363",-42.35,-20.65
"X364",-42.2,-20.65
"X365",-42.05,-20.65
"X366",-41.9,-20.65
"X367",-47.15,-20.5
"X368",-47,-20.5
"X369",-46.85,-20.5
"X370",-46.7,-20.5
"X371",-46.55,-20.5
"X372",-46.4,-20.5
"X373",-46.25,-20.5
"X374",-46.1,-20.5
"X375",-45.95,-20.5
"X376",-45.8,-20.5
"X377",-45.65,-20.5
"X378",-45.5,-20.5
"X379",-45.35,-20.5
"X380",-45.2,-20.5
"X381",-45.05,-20.5
"X382",-44.9,-20.5
"X383",-44.75,-20.5
"X384",-44.6,-20.5
"X385",-44.45,-20.5
"X386",-44.3,-20.5
"X387",-44.15,-20.5
"X388",-44,-20.5
"X389",-43.85,-20.5
"X390",-43.7,-20.5
"X391",-43.55,-20.5
"X392",-43.4,-20.5
"X393",-43.25,-20.5
"X394",-43.1,-20.5
"X395",-42.95,-20.5
"X396",-42.8,-20.5
"X397",-42.65,-20.5
"X398",-42.5,-20.5
"X399",-42.35,-20.5
"X400",-42.2,-20.5
"X401",-42.05,-20.5
"X402",-41.9,-20.5
"X403",-48.95,-20.35
"X404",-47.15,-20.35
"X405",-47,-20.35
"X406",-46.85,-20.35
"X407",-46.7,-20.35
"X408",-46.55,-20.35
"X409",-46.4,-20.35
"X410",-46.25,-20.35
"X411",-46.1,-20.35
"X412",-45.95,-20.35
"X413",-45.8,-20.35
"X414",-45.65,-20.35
"X415",-45.5,-20.35
"X416",-45.35,-20.35
"X417",-45.2,-20.35
"X418",-45.05,-20.35
"X419",-44.9,-20.35
"X420",-44.75,-20.35
"X421",-44.6,-20.35
"X422",-44.45,-20.35
"X423",-44.3,-20.35
"X424",-44.15,-20.35
"X425",-44,-20.35
"X426",-43.85,-20.35
"X427",-43.7,-20.35
"X428",-43.55,-20.35
"X429",-43.4,-20.35
"X430",-43.25,-20.35
"X431",-43.1,-20.35
"X432",-42.95,-20.35
"X433",-42.8,-20.35
"X434",-42.65,-20.35
"X435",-42.5,-20.35
"X436",-42.35,-20.35
"X437",-42.2,-20.35
"X438",-42.05,-20.35
"X439",-41.9,-20.35
"X440",-49.25,-20.2
"X441",-49.1,-20.2
"X442",-48.95,-20.2
"X443",-47.15,-20.2
"X444",-47,-20.2
"X445",-46.85,-20.2
"X446",-46.7,-20.2
"X447",-46.55,-20.2
"X448",-46.4,-20.2
"X449",-46.25,-20.2
"X450",-46.1,-20.2
"X451",-45.95,-20.2
"X452",-45.8,-20.2
"X453",-45.65,-20.2
"X454",-45.5,-20.2
"X455",-45.35,-20.2
"X456",-45.2,-20.2
"X457",-45.05,-20.2
"X458",-44.9,-20.2
"X459",-44.75,-20.2
"X460",-44.6,-20.2
"X461",-44.45,-20.2
"X462",-44.3,-20.2
"X463",-44.15,-20.2
"X464",-44,-20.2
"X465",-43.85,-20.2
"X466",-43.7,-20.2
"X467",-43.55,-20.2
"X468",-43.4,-20.2
"X469",-43.25,-20.2
"X470",-43.1,-20.2
"X471",-42.95,-20.2
"X472",-42.8,-20.2
